"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202202","9호선","마곡나루(서울식물원)","5","0","2536","697","6898","6533","20802","11037","22261","35084","11157","17079","8351","9654","9045","9150","10882","9624","11316","10895","11433","11042","13407","10796","16234","12285","24232","17507","32675","26186","14005","22967","13178","12154","15398","13215","7116","9680","1362","4138","10","197","0","0","0","0","0","0","20220303"
"202202","경부선","서울역","2","0","21","234","68","2079","7338","3186","13107","3634","9045","3102","8537","2259","10302","1324","9478","2170","9787","2174","7846","1960","9464","2258","10728","2500","10226","4569","11795","6498","11304","3187","7483","1872","10095","1713","6463","1146","2455","156","15","12","0","0","0","0","0","0","20220303"
"202202","경원선","청량리(서울시립대입구)","918","16","4048","1066","5558","7498","19470","10098","30353","16239","17022","21442","22361","22723","17392","24635","21158","23312","27029","24688","21979","26054","26566","27171","26879","25084","24858","23801","28022","36283","17433","25228","19742","13452","12433","15723","6777","7971","2231","3216","11","376","0","0","0","0","0","0","20220303"
"202202","경의선","서울역","0","0","506","6","843","5109","2004","15982","1832","26341","1696","12911","1192","4804","1382","3606","2109","2833","2436","4870","2639","2325","3913","2318","5486","2327","11519","3270","21663","3497","7660","2184","4338","1803","4751","851","705","118","675","707","0","63","0","0","0","0","0","0","20220303"
"202202","공항철도 1호선","마곡나루(서울식물원)","10","0","1427","553","2675","5896","9183","16968","9803","43606","5304","16375","3550","5540","4475","4043","5109","4303","4757","4772","5091","4645","6497","4326","10521","4478","28631","6916","32738","10663","11717","7249","7202","4500","6198","5266","2815","3814","685","1556","86","1065","0","0","0","0","0","0","20220303"
"202202","공항철도 1호선","서울역","145","0","1557","411","1404","6427","7596","10671","8603","16397","6427","11891","7255","9693","8757","9138","10774","10527","10971","9617","8677","8330","12217","9537","13977","8975","16489","10529","19975","12121","14059","9792","9480","5872","12297","6606","7676","3729","2784","1492","2","662","0","0","0","0","0","0","20220303"
"202202","분당선","서울숲","92","0","2062","399","3527","3613","9344","12509","16221","31139","11045","20725","6268","13576","6350","10402","7445","11598","8577","13450","9633","12243","12456","12403","15724","12195","24587","13064","34939","17950","16845","12109","13044","6812","12323","7758","5000","5205","780","1597","18","256","0","0","0","0","0","0","20220303"
"202201","1호선","서울역","530","14","7194","5587","10201","34337","30952","78629","50863","172417","41295","111532","42007","57039","51630","49488","58151","55836","60888","55422","54039","50650","67182","54420","78035","53846","115584","64383","167281","68866","78941","45042","60773","31581","71463","34893","29558","14807","8521","5862","28","506","0","0","0","0","0","0","20220203"
"202201","1호선","청량리(서울시립대입구)","840","12","8703","3571","12557","17264","30347","13831","40408","29947","26400","26385","25430","34680","33202","40901","38275","40680","40692","45533","44118","48172","48551","44349","51255","37389","45596","35298","36152","41847","18887","26636","15682","16421","13004","21916","4837","11332","1150","4526","26","586","0","0","0","0","0","0","20220203"
"202201","2호선","강변(동서울터미널)","13","1","7245","1588","21596","15449","66558","19187","97155","41022","69999","33883","51279","33090","47650","32218","46848","36349","46443","40288","43137","43409","44380","49706","45435","53705","47286","68235","51877","97575","33413","70122","27696","48261","25066","60603","11773","27594","3622","8714","1","95","0","0","0","0","0","0","20220203"
